Fecha,Agente Representante,Total Generado
2022-01-04,BIOGAS COLOMBIA S.A.S. E.S.P ,13031.64
2022-01-04,CCG ENERGY S.A.S. E.S.P.,15319.0
2022-01-04,CELSIA COLOMBIA S.A. E.S.P.,16938901.57
2022-01-04,CENTRAL HIDROELÉCTRICA CONCORDIA S.A.S. E.S.P.,76243.2
2022-01-04,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,473552.92000000004
2022-01-04,COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,283344.5
2022-01-04,COMPAÑÍA ELÉCTRICA DE SOCHAGOTA  S.A. E.S.P.,2622032.56
2022-01-04,COMPAÑÍA INTEGRAL ENERGETICA S.A.S E.S.P,14098.939999999999
2022-01-04,DEPI ENERGY S.A.S. E.S.P.,38180.47
2022-01-04,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,53521.740000000005
2022-01-04,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,565222.52
2022-01-04,EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.,151786.5
2022-01-04,EMPRESA GENERADORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA DE COLOMBIA S.A. E.S.P.,10019.49
2022-01-04,EMPRESA MUNICIPAL DE ENERGIA ELECTRICA S.A. E.S.P.,97359.0
2022-01-04,EMPRESA URRA S.A. E.S.P.,1907211.8499999999
2022-01-04,EMPRESAS PUBLICAS DE CALARCA ESP,26756.149999999998
2022-01-04,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,47614781.919999994
2022-01-04,ENEL COLOMBIA SA ESP,26498370.599999998
2022-01-04,ENERCO S.A. E.S.P.,69007.46
2022-01-04,ENERGETICA S.A. E.S.P.,13140.45
2022-01-04,ENERGIA DEL RIO PIEDRAS S.A. E.S.P,175514.4
2022-01-04,ENERGIA DEL SUROESTE S.A. E.S.P.,135986.0
2022-01-04,ENERGIA RENOVABLE DE COLOMBIA S.A. E.S.P.,46204.29
2022-01-04,ESPACIO PRODUCTIVO S.A.S. E.S.P.,209744.55
2022-01-04,FUENTES DE ENERGIAS RENOVABLES S.A.S. E.S.P.,7024.549999999999
2022-01-04,GENERADORA ALEJANDRIA S.A.S. E.S.P.,162448.8
2022-01-04,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,9453466.5
2022-01-04,GENERPUTUMAYO S.A.S. E.S.P.,15109.429999999998
2022-01-04,GENERSA S.A.S. E.S.P.,225018.0
2022-01-04,GESTION ENERGETICA S.A. E.S.P.,2011503.7
2022-01-04,HIDROELECTRICA BARRANCAS SAS ESP,54656.92
2022-01-04,HIDROELECTRICA DEL ALTO PORCE S.A.S. E.S.P.,1408069.48
2022-01-04,HIDROTOLIMA S.A. E.S.P.,168939.13
2022-01-04,HZ ENERGY S.A.S. E.S.P.,43738.340000000004
2022-01-04,IAC ENERGY S.A.S. E.S.P.,48039.08
2022-01-04,ISAGEN S.A. E.S.P.,50258735.849999994
2022-01-04,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,717007.19
2022-01-04,P.CH EL COCUYO SAS ESP,9008.699999999999
2022-01-04,PRIME TERMOFLORES S.A.S. E.S.P.,1689742.6199999999
2022-01-04,PROELECTRICA S.A.S E.S.P.,219889.6
2022-01-04,RIOPAILA ENERGÍA S.A.S. E.S.P.,161054.4
2022-01-04,RISARALDA ENERGIA S.A.S. E.S.P.,285753.0
2022-01-04,SANTA FE ENERGY ZOMAC S.A.S. E.S.P.,3922.6000000000004
2022-01-04,SPECTRUM RENOVAVEIS S.A.S. E.S.P.,18316.98
2022-01-04,TERMO MECHERO MORRO S.A.S E.S.P ,1377915.47
2022-01-04,TERMOBARRANQUILLA S.A. EMPRESA DE SERVICIOS PUBLICOS,7951287.16
2022-01-04,TERMONORTE S.A.S. E.S.P.,755187.9
2022-01-04,TERMOPIEDRAS S.A. E.S.P.,62087.74
2022-01-04,TERMOTASAJERO DOS S.A. E.S.P. ,396956.35
2022-01-04,TERMOTASAJERO S.A. E.S.P.,164767.57
2022-01-04,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,3508254.07
2022-01-04,VATIA S.A. E.S.P.,395219.24
2022-01-05,4E GROUP S.A.S E.S.P.,19581.6
2022-01-05,AES COLOMBIA & CIA. S.C.A. E.S.P.,3497625.8699999996
2022-01-05,ATLÁNTICA COLOMBIA S.A.S. E.S.P.,155468.51
2022-01-05,AURES BAJO S.A.S. E.S.P.,331192.3
2022-01-05,BIOGAS COLOMBIA S.A.S. E.S.P ,11829.84
2022-01-05,CELSIA COLOMBIA S.A. E.S.P.,16821765.26
2022-01-05,CENTRAL HIDROELÉCTRICA CONCORDIA S.A.S. E.S.P.,78386.0
2022-01-05,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,492180.25999999995
2022-01-05,COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,273024.46
2022-01-05,COMPAÑÍA ELÉCTRICA DE SOCHAGOTA  S.A. E.S.P.,2656576.44
2022-01-05,COMPAÑÍA INTEGRAL ENERGETICA S.A.S E.S.P,13876.09
2022-01-05,DEPI ENERGY S.A.S. E.S.P.,32954.25
2022-01-05,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,54814.33
2022-01-05,ELECTRIFICADORA DEL META S.A. E.S.P.,456.0
2022-01-05,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,598129.03
2022-01-05,EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.,149367.02000000002
2022-01-05,EMPRESA GENERADORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA DE COLOMBIA S.A. E.S.P.,10266.509999999998
2022-01-05,EMPRESA MUNICIPAL DE ENERGIA ELECTRICA S.A. E.S.P.,117775.0
2022-01-05,EMPRESA URRA S.A. E.S.P.,1905052.88
2022-01-05,EMPRESAS PUBLICAS DE CALARCA ESP,13564.54
2022-01-05,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,59258076.43
2022-01-05,ENEL COLOMBIA SA ESP,27273826.25
2022-01-05,ENERCO S.A. E.S.P.,42625.65
2022-01-05,ENERGETICA S.A. E.S.P.,13251.470000000001
2022-01-05,ENERGIA DEL RIO PIEDRAS S.A. E.S.P,175653.59999999998
2022-01-05,ENERGIA DEL SUROESTE S.A. E.S.P.,118934.7
2022-01-05,ENERGIA RENOVABLE DE COLOMBIA S.A. E.S.P.,47001.9
2022-01-05,ESPACIO PRODUCTIVO S.A.S. E.S.P.,217829.25
2022-01-05,FUENTES DE ENERGIAS RENOVABLES S.A.S. E.S.P.,7075.27
2022-01-05,GENERADORA ALEJANDRIA S.A.S. E.S.P.,160150.91999999998
2022-01-05,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,9275228.93
2022-01-05,GENERPUTUMAYO S.A.S. E.S.P.,14406.32
2022-01-05,GENERSA S.A.S. E.S.P.,214308.0
2022-01-05,HIDROELECTRICA BARRANCAS SAS ESP,54153.0
2022-01-05,HIDROELECTRICA DEL ALTO PORCE S.A.S. E.S.P.,1740772.27
2022-01-05,HIDROTOLIMA S.A. E.S.P.,174618.25
2022-01-05,HZ ENERGY S.A.S. E.S.P.,36245.34
2022-01-05,IAC ENERGY S.A.S. E.S.P.,31960.42
2022-01-05,ISAGEN S.A. E.S.P.,60527195.72
2022-01-05,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,783237.13
2022-01-05,P.CH EL COCUYO SAS ESP,7827.15
2022-01-05,PRIME TERMOFLORES S.A.S. E.S.P.,101229.47
2022-01-05,PROELECTRICA S.A.S E.S.P.,201899.19
2022-01-05,RIOPAILA ENERGÍA S.A.S. E.S.P.,141700.80000000002
2022-01-05,RISARALDA ENERGIA S.A.S. E.S.P.,301690.0
2022-01-05,SPECTRUM RENOVAVEIS S.A.S. E.S.P.,18204.120000000003
2022-01-05,TERMO MECHERO MORRO S.A.S E.S.P ,1290898.27
2022-01-05,TERMOBARRANQUILLA S.A. EMPRESA DE SERVICIOS PUBLICOS,9036216.89
2022-01-05,TERMONORTE S.A.S. E.S.P.,757028.0
2022-01-05,TERMOPIEDRAS S.A. E.S.P.,68989.11
2022-01-05,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,3503670.56
2022-01-05,VATIA S.A. E.S.P.,580130.62
2022-01-06,4E GROUP S.A.S E.S.P.,19380.600000000002
2022-01-06,AES COLOMBIA & CIA. S.C.A. E.S.P.,16992363.02
2022-01-06,ATLÁNTICA COLOMBIA S.A.S. E.S.P.,151417.78999999998
2022-01-06,AURES BAJO S.A.S. E.S.P.,391202.1
2022-01-06,BIOGAS COLOMBIA S.A.S. E.S.P ,13914.24
2022-01-06,CELSIA COLOMBIA S.A. E.S.P.,16679563.57
2022-01-06,CENTRAL HIDROELÉCTRICA CONCORDIA S.A.S. E.S.P.,85987.0
2022-01-06,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,452233.85
2022-01-06,COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,261798.06
2022-01-06,COMPAÑÍA ELÉCTRICA DE SOCHAGOTA  S.A. E.S.P.,3834612.45
2022-01-06,COMPAÑÍA INTEGRAL ENERGETICA S.A.S E.S.P,12858.33
2022-01-06,DEPI ENERGY S.A.S. E.S.P.,34021.68000000001
2022-01-06,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,53769.21000000001
2022-01-06,ELECTRIFICADORA DEL META S.A. E.S.P.,1434.0
2022-01-06,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,468348.78
2022-01-06,EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.,144238.34
2022-01-06,EMPRESA GENERADORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA DE COLOMBIA S.A. E.S.P.,10065.72
2022-01-06,EMPRESA MUNICIPAL DE ENERGIA ELECTRICA S.A. E.S.P.,101791.0
2022-01-06,EMPRESA URRA S.A. E.S.P.,1900608.2200000002
2022-01-06,EMPRESAS PUBLICAS DE CALARCA ESP,21898.739999999998
2022-01-06,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,50138902.83
2022-01-06,ENEL COLOMBIA SA ESP,47323323.22
2022-01-06,ENERCO S.A. E.S.P.,36273.43
2022-01-06,ENERGETICA S.A. E.S.P.,10908.45
2022-01-06,ENERGIA DEL RIO PIEDRAS S.A. E.S.P,165515.86000000002
2022-01-06,ENERGIA DEL SUROESTE S.A. E.S.P.,125699.3
2022-01-06,ENERGIA RENOVABLE DE COLOMBIA S.A. E.S.P.,46955.7
2022-01-06,ESPACIO PRODUCTIVO S.A.S. E.S.P.,150119.55
2022-01-06,FUENTES DE ENERGIAS RENOVABLES S.A.S. E.S.P.,6567.34
2022-01-06,GENERADORA ALEJANDRIA S.A.S. E.S.P.,165241.0
2022-01-06,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,7169635.5600000005
2022-01-06,GENERPUTUMAYO S.A.S. E.S.P.,13245.810000000001
2022-01-06,GENERSA S.A.S. E.S.P.,226050.0
2022-01-06,HIDROELECTRICA BARRANCAS SAS ESP,55763.0
2022-01-06,HIDROELECTRICA DEL ALTO PORCE S.A.S. E.S.P.,1418221.38
2022-01-06,HIDROTOLIMA S.A. E.S.P.,169981.28
2022-01-06,HZ ENERGY S.A.S. E.S.P.,52201.97
2022-01-06,IAC ENERGY S.A.S. E.S.P.,45841.83
2022-01-06,ISAGEN S.A. E.S.P.,37202801.94
2022-01-06,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,774604.4
2022-01-06,P.CH EL COCUYO SAS ESP,10441.04
2022-01-06,PROELECTRICA S.A.S E.S.P.,195714.56
2022-01-06,RIOPAILA ENERGÍA S.A.S. E.S.P.,128073.59999999999
2022-01-06,RISARALDA ENERGIA S.A.S. E.S.P.,429638.0
2022-01-06,SPECTRUM RENOVAVEIS S.A.S. E.S.P.,17534.88
2022-01-06,TERMO MECHERO MORRO S.A.S E.S.P ,1385879.8599999999
2022-01-06,TERMOBARRANQUILLA S.A. EMPRESA DE SERVICIOS PUBLICOS,9283698.49
2022-01-06,TERMONORTE S.A.S. E.S.P.,752814.1000000001
2022-01-06,TERMOPIEDRAS S.A. E.S.P.,48583.12
2022-01-06,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,4000821.9299999997
2022-01-06,VATIA S.A. E.S.P.,544203.03
2022-01-07,4E GROUP S.A.S E.S.P.,18052.8
2022-01-07,AES COLOMBIA & CIA. S.C.A. E.S.P.,1059854.81
2022-01-07,ATLÁNTICA COLOMBIA S.A.S. E.S.P.,137458.14
2022-01-07,AURES BAJO S.A.S. E.S.P.,395353.5
2022-01-07,BIOGAS COLOMBIA S.A.S. E.S.P ,13770.599999999999
2022-01-07,CCG ENERGY S.A.S. E.S.P.,19611.0
2022-01-07,CELSIA COLOMBIA S.A. E.S.P.,17620051.47
2022-01-07,CENTRAL HIDROELÉCTRICA CONCORDIA S.A.S. E.S.P.,56227.6
2022-01-07,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,587716.49
2022-01-07,COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,221631.11000000004
2022-01-07,COMPAÑÍA ELÉCTRICA DE SOCHAGOTA  S.A. E.S.P.,3456037.13
2022-01-07,COMPAÑÍA INTEGRAL ENERGETICA S.A.S E.S.P,13589.97
2022-01-07,DEPI ENERGY S.A.S. E.S.P.,40960.990000000005
2022-01-07,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,52520.51
2022-01-07,ELECTRIFICADORA DEL META S.A. E.S.P.,2736.0
2022-01-07,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,358333.74
